"","E179WVS","E036","F118","F120","F028","F121"
"1",4,5,4,3,7,10
"2",76003,1,3,6,2,8
"3",4,5,5,2,3,5
"4",4,6,5,1,3,9
"5",4,7,4,8,7,8
"6",4,6,6,6,1,7
"7",4,4,4,7,4,9
"8",4,3,1,1,1,7
"9",4,1,10,1,8,10
"10",4,1,6,1,8,1
"11",4,10,1,1,1,1
"12",4,1,1,1,7,1
"13",4,10,1,1,2,1
"14",4,1,1,1,2,1
"15",76002,10,10,1,1,5
"16",76003,1,1,3,3,10
"17",76012,10,1,5,7,10
"18",4,1,1,1,7,7
"19",4,1,1,1,2,1
"20",4,5,1,1,2,1
"21",76012,5,7,1,3,8
"22",76002,1,1,1,1,1
"23",5,8,1,5,1,5
"24",76003,3,4,4,4,6
"25",76009,10,10,1,4,10
"26",76001,1,1,1,2,1
"27",-1,1,5,1,7,5
"28",76009,8,10,1,2,7
"29",4,4,10,1,7,-1
"30",76004,4,-1,3,2,10
"31",4,7,1,1,8,7
"32",76023,1,5,1,3,5
"33",4,1,1,1,7,10
"34",76023,1,1,1,2,10
"35",76004,10,1,1,-1,1
"36",-1,7,1,1,8,1
"37",4,1,10,6,3,10
"38",76001,6,8,1,7,5
"39",76002,1,10,1,7,1
"40",4,1,9,1,7,1
"41",76002,1,10,1,7,10
"42",-1,6,8,5,7,10
"43",4,1,7,6,3,8
"44",4,1,1,1,3,3
"45",76002,8,10,1,8,10
"46",-1,8,8,1,3,5
"47",76002,2,5,1,7,7
"48",76002,5,5,5,3,5
"49",76002,7,10,1,3,10
"50",76023,1,5,2,2,6
"51",76002,9,10,10,1,10
"52",76002,10,10,5,4,10
"53",76023,1,10,1,3,9
"54",76002,3,5,5,2,5
"55",76002,6,2,1,1,-1
"56",4,10,1,1,8,5
"57",76001,5,10,1,2,10
"58",4,10,6,1,1,6
"59",4,10,5,1,3,10
"60",4,10,3,1,2,6
"61",76003,10,-1,5,3,10
"62",5,5,1,1,4,1
"63",76002,6,10,5,4,1
"64",76003,5,10,1,4,5
"65",4,10,5,1,3,10
"66",76003,10,5,1,3,8
"67",4,10,4,3,7,7
"68",4,1,1,1,6,6
"69",76002,10,1,1,2,7
