"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"1","PT",0.555555555555556,0.889662319871393,0.0373015873015873,0.598676694431493,"Público","Out 2018-2019"
"2","PT",0.777777777777778,0.566106231120865,0.184920634920635,0.275120605680965,"Público","Out 2018-2019"
"3","PT",0.444444444444444,1,0.148412698412698,0.7090143745601,"Público","Out 2018-2019"
"4","PT",0.444444444444444,0.345430870863651,0.148412698412698,0.0544452454237508,"Público","Out 2018-2019"
"5","PSL",0,0.724155799678483,0.592857142857143,0.433170174238583,"Público","Out 2018-2019"
"6","PT",0.444444444444444,0.400599710927954,0.148412698412698,0.109614085488054,"Público","Out 2018-2019"
"7","PT",0.111111111111111,1,0.481746031746032,0.7090143745601,"Público","Out 2018-2019"
"8","PT",0.888888888888889,0.455768550992258,0.296031746031746,0.164782925552358,"Público","Out 2018-2019"
"9","PT",0,0.889662319871393,0.592857142857143,0.598676694431493,"Público","Out 2018-2019"
"10","MDB",0.888888888888889,1,0.296031746031746,0.7090143745601,"Público","Out 2018-2019"
"11","PT",0.777777777777778,0.889662319871393,0.184920634920635,0.598676694431493,"Público","Out 2018-2019"
"12","MDB",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"13","PT",1,0.345430870863651,0.407142857142857,0.0544452454237508,"Público","Out 2018-2019"
"14","PT",1,0.944831159935696,0.407142857142857,0.653845534495796,"Público","Out 2018-2019"
"15","PT",0,0.724155799678483,0.592857142857143,0.433170174238583,"Público","Out 2018-2019"
"16","PT",1,0.944831159935696,0.407142857142857,0.653845534495796,"Público","Out 2018-2019"
"17","PSL",0.444444444444444,0.0551688400643034,0.148412698412698,0.235816785375597,"Público","Out 2018-2019"
"18","PT",0.444444444444444,0.779324639742786,0.148412698412698,0.488339014302886,"Público","Out 2018-2019"
"19","PT",0.444444444444444,0.510937391056561,0.148412698412698,0.219951765616661,"Público","Out 2018-2019"
"20","MDB",0,0.779324639742786,0.592857142857143,0.488339014302886,"Público","Out 2018-2019"
"21","PT",0.666666666666667,0.779324639742786,0.0738095238095238,0.488339014302886,"Público","Out 2018-2019"
"22","PSL",0,0.724155799678483,0.592857142857143,0.433170174238583,"Público","Out 2018-2019"
"23","PT",0.111111111111111,1,0.481746031746032,0.7090143745601,"Público","Out 2018-2019"
"24","PT",0.111111111111111,0.566106231120865,0.481746031746032,0.275120605680965,"Público","Out 2018-2019"
"25","PSL",0.111111111111111,0.889662319871393,0.481746031746032,0.598676694431493,"Público","Out 2018-2019"
"26","PT",0.777777777777778,0.345430870863651,0.184920634920635,0.0544452454237508,"Público","Out 2018-2019"
"27","PT",0.777777777777778,0.621275071185168,0.184920634920635,0.330289445745268,"Público","Out 2018-2019"
"28","PT",0.444444444444444,0.724155799678483,0.148412698412698,0.433170174238583,"Público","Out 2018-2019"
"29","PSL",0.111111111111111,0.510937391056561,0.481746031746032,0.219951765616661,"Público","Out 2018-2019"
"30","PSL",0,0.724155799678483,0.592857142857143,0.433170174238583,"Público","Out 2018-2019"
"31","PSL",0.555555555555556,0.944831159935696,0.0373015873015873,0.653845534495796,"Público","Out 2018-2019"
"32","PT",1,0.0551688400643034,0.407142857142857,0.235816785375597,"Público","Out 2018-2019"
"33","PT",0.222222222222222,1,0.370634920634921,0.7090143745601,"Público","Out 2018-2019"
"34","PSL",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"35","PT",0.777777777777778,1,0.184920634920635,0.7090143745601,"Público","Out 2018-2019"
"36","PT",0.888888888888889,0.889662319871393,0.296031746031746,0.598676694431493,"Público","Out 2018-2019"
"37","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"38","PT",0,0.889662319871393,0.592857142857143,0.598676694431493,"Público","Out 2018-2019"
"39","PSL",0,0.0551688400643034,0.592857142857143,0.235816785375597,"Público","Out 2018-2019"
"40","PT",0.555555555555556,0.0551688400643034,0.0373015873015873,0.235816785375597,"Público","Out 2018-2019"
"41","PT",0.333333333333333,0.566106231120865,0.25952380952381,0.275120605680965,"Público","Out 2018-2019"
"42","PT",1,0.621275071185168,0.407142857142857,0.330289445745268,"Público","Out 2018-2019"
"43","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"44","PT",1,0.779324639742786,0.407142857142857,0.488339014302886,"Público","Out 2018-2019"
"45","PT",1,0.400599710927954,0.407142857142857,0.109614085488054,"Público","Out 2018-2019"
"46","PT",0,0.510937391056561,0.592857142857143,0.219951765616661,"Público","Out 2018-2019"
"47","PT",0.111111111111111,0.566106231120865,0.481746031746032,0.275120605680965,"Público","Out 2018-2019"
"48","MDB",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"49","PT",0.111111111111111,0.724155799678483,0.481746031746032,0.433170174238583,"Público","Out 2018-2019"
"50","PT",0.111111111111111,0.345430870863651,0.481746031746032,0.0544452454237508,"Público","Out 2018-2019"
"51","PT",0.444444444444444,0.0551688400643034,0.148412698412698,0.235816785375597,"Público","Out 2018-2019"
"52","PT",0,0,0.592857142857143,0.2909856254399,"Público","Out 2018-2019"
"53","PT",1,0.779324639742786,0.407142857142857,0.488339014302886,"Público","Out 2018-2019"
"54","PT",0.666666666666667,0.345430870863651,0.0738095238095238,0.0544452454237508,"Público","Out 2018-2019"
"55","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"56","PT",1,0.889662319871393,0.407142857142857,0.598676694431493,"Público","Out 2018-2019"
"57","PT",0.555555555555556,0.400599710927954,0.0373015873015873,0.109614085488054,"Público","Out 2018-2019"
"58","PT",0.666666666666667,0.510937391056561,0.0738095238095238,0.219951765616661,"Público","Out 2018-2019"
"59","PT",0.444444444444444,0.889662319871393,0.148412698412698,0.598676694431493,"Público","Out 2018-2019"
"60","PT",0.555555555555556,0.889662319871393,0.0373015873015873,0.598676694431493,"Público","Out 2018-2019"
"61","PSL",0.444444444444444,0.779324639742786,0.148412698412698,0.488339014302886,"Público","Out 2018-2019"
"62","PT",0.888888888888889,0.889662319871393,0.296031746031746,0.598676694431493,"Público","Out 2018-2019"
"63","PT",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"64","PT",0.777777777777778,0.510937391056561,0.184920634920635,0.219951765616661,"Público","Out 2018-2019"
"65","PT",0.222222222222222,0.400599710927954,0.370634920634921,0.109614085488054,"Público","Out 2018-2019"
"66","PT",0.666666666666667,0.599400289072046,0.0738095238095238,0.308414663632146,"Público","Out 2018-2019"
