"","partido","microGap","Dimensão","Período"
"1","PT",0.28001921799477,"Liberal / Fundamentalismo adaptado","2017-2018"
"2","PT",0.05455187924295,"Liberal / Fundamentalismo adaptado","2017-2018"
"3","PT",0.0718055243542116,"Liberal / Fundamentalismo adaptado","2017-2018"
"4","PT",0.070366721182364,"Liberal / Fundamentalismo adaptado","2017-2018"
"5","PSDB",0.0263085881132055,"Liberal / Fundamentalismo adaptado","2017-2018"
"6","PSDB",0.276813598161341,"Liberal / Fundamentalismo adaptado","2017-2018"
"7","PSDB",0.273029867544743,"Liberal / Fundamentalismo adaptado","2017-2018"
"8","PT",0.211203592335111,"Liberal / Fundamentalismo adaptado","2017-2018"
"9","PT",0.0193768832035665,"Liberal / Fundamentalismo adaptado","2017-2018"
"10","PT",0.0174848573525196,"Liberal / Fundamentalismo adaptado","2017-2018"
"11","PT",0.232362475340074,"Liberal / Fundamentalismo adaptado","2017-2018"
"12","PSDB",0.0212104368562245,"Liberal / Fundamentalismo adaptado","2017-2018"
"13","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"14","PT",0.120979381596931,"Liberal / Fundamentalismo adaptado","2017-2018"
"15","PT",0.139650555051099,"Liberal / Fundamentalismo adaptado","2017-2018"
"16","PT",0.23463861425746,"Liberal / Fundamentalismo adaptado","2017-2018"
"17","PT",0.163093627001216,"Liberal / Fundamentalismo adaptado","2017-2018"
"18","PSDB",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"19","PSDB",0.0130152390493291,"Liberal / Fundamentalismo adaptado","2017-2018"
"20","PT",0.526967559162099,"Liberal / Fundamentalismo adaptado","2017-2018"
"21","PT",0.524391727438658,"Liberal / Fundamentalismo adaptado","2017-2018"
"22","PT",0.261186464639691,"Liberal / Fundamentalismo adaptado","2017-2018"
"23","PT",0.0262953633120308,"Liberal / Fundamentalismo adaptado","2017-2018"
"24","PT",0.171716424542963,"Liberal / Fundamentalismo adaptado","2017-2018"
"25","PT",0.00421713123299067,"Liberal / Fundamentalismo adaptado","2017-2018"
"26","PT",0.201938102967698,"Liberal / Fundamentalismo adaptado","2017-2018"
"27","PMDB",0.278999027519378,"Liberal / Fundamentalismo adaptado","2017-2018"
"28","PT",0.280513554720698,"Liberal / Fundamentalismo adaptado","2017-2018"
"29","PSDB",0.100502038163155,"Liberal / Fundamentalismo adaptado","2017-2018"
"30","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"31","PT",0.295776414393796,"Liberal / Fundamentalismo adaptado","2017-2018"
"32","PSDB",0.116420814463093,"Liberal / Fundamentalismo adaptado","2017-2018"
"33","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"34","PSDB",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"35","PT",0.303540601361063,"Liberal / Fundamentalismo adaptado","2017-2018"
"36","PT",0.324686259564852,"Liberal / Fundamentalismo adaptado","2017-2018"
"37","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"38","PT",0.00423035603416538,"Liberal / Fundamentalismo adaptado","2017-2018"
"39","PT",0.0800246947293795,"Liberal / Fundamentalismo adaptado","2017-2018"
"40","PT",0.00423035603416538,"Liberal / Fundamentalismo adaptado","2017-2018"
"41","PT",0.263090888633911,"Liberal / Fundamentalismo adaptado","2017-2018"
"42","PMDB",0.0653575187560305,"Liberal / Fundamentalismo adaptado","2017-2018"
"43","PT",0.0170298739446184,"Liberal / Fundamentalismo adaptado","2017-2018"
"44","PSDB",0.134173144415689,"Liberal / Fundamentalismo adaptado","2017-2018"
"45","PT",0.0939739604200958,"Liberal / Fundamentalismo adaptado","2017-2018"
"46","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"47","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"48","PT",0.571038917032432,"Liberal / Fundamentalismo adaptado","2017-2018"
"49","PSDB",0.0652817947265577,"Liberal / Fundamentalismo adaptado","2017-2018"
"50","PT",0.569321695883471,"Liberal / Fundamentalismo adaptado","2017-2018"
"51","PT",0.202028812527048,"Liberal / Fundamentalismo adaptado","2017-2018"
"52","PT",0.293515261006287,"Liberal / Fundamentalismo adaptado","2017-2018"
"53","PT",0.526967559162099,"Liberal / Fundamentalismo adaptado","2017-2018"
