"","partido","microGap","Dimensão","Período"
"1","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"2","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"3","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"4","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"5","PSDB",0.461988304093567,"Pró Estado V.S Pró Mercado","2017-2018"
"6","PSDB",0.461988304093567,"Pró Estado V.S Pró Mercado","2017-2018"
"7","PSDB",0.204678362573099,"Pró Estado V.S Pró Mercado","2017-2018"
"8","PT",0.128654970760234,"Pró Estado V.S Pró Mercado","2017-2018"
"9","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"10","PT",0.573099415204678,"Pró Estado V.S Pró Mercado","2017-2018"
"11","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"12","PSDB",0.239766081871345,"Pró Estado V.S Pró Mercado","2017-2018"
"13","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"14","PT",0.573099415204678,"Pró Estado V.S Pró Mercado","2017-2018"
"15","PT",0.128654970760234,"Pró Estado V.S Pró Mercado","2017-2018"
"16","PT",0.0935672514619883,"Pró Estado V.S Pró Mercado","2017-2018"
"17","PT",0.350877192982456,"Pró Estado V.S Pró Mercado","2017-2018"
"18","PT",0.0935672514619883,"Pró Estado V.S Pró Mercado","2017-2018"
"19","PSDB",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"20","PSDB",0.239766081871345,"Pró Estado V.S Pró Mercado","2017-2018"
"21","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"22","PT",0.573099415204678,"Pró Estado V.S Pró Mercado","2017-2018"
"23","PT",0.239766081871345,"Pró Estado V.S Pró Mercado","2017-2018"
"24","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"25","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"26","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"27","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"28","PMDB",0.128654970760234,"Pró Estado V.S Pró Mercado","2017-2018"
"29","PT",0.128654970760234,"Pró Estado V.S Pró Mercado","2017-2018"
"30","PSDB",0.350877192982456,"Pró Estado V.S Pró Mercado","2017-2018"
"31","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"32","PT",0.350877192982456,"Pró Estado V.S Pró Mercado","2017-2018"
"33","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"34","PSDB",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"35","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"36","PSDB",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"37","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"38","PT",0.0175438596491229,"Pró Estado V.S Pró Mercado","2017-2018"
"39","PT",0.128654970760234,"Pró Estado V.S Pró Mercado","2017-2018"
"40","PT",0.684210526315789,"Pró Estado V.S Pró Mercado","2017-2018"
"41","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
"42","PT",0.315789473684211,"Pró Estado V.S Pró Mercado","2017-2018"
